"name","split","no","class","team","conference","pos","gp","gs","ab","pa","r","h","2b","3b","hr","rbi","tb","k","bb","hbp","sf","sh","cs","sb","dp","avg","obp","slg","ops","iso","babip","woba","k%","bb%","hr%","rc"
"40","ALL","40","N/A","Colby","NESCAC","1B","1","1","4","4","0","2","1","0","0","1","3","0","0","0","0","0","0","0","0",".500",".500",".750","1.250",".250",".500",".540",".000",".000",".000","1.17"
"A. Coulston","ALL","5","N/A","Me.-Presque Isle","North Atlantic","LF","15","6","21","22","0","3","1","0","0","2","4","9","1","0","0","0","0","0","0",".143",".182",".190",".372",".048",".250",".170",".409",".045",".000","0.24"
"A. Robinson","ALL","27","N/A","Ithaca","Empire 8","LF","16","3","27","33","3","5","0","0","0","1","5","7","3","2","0","1","0","1","1",".185",".312",".185",".497",".000",".250",".241",".212",".091",".000","2.01"
"A. Watts","ALL","24","Sr","Belhaven","ASC","LF","29","25","83","92","7","24","6","1","0","8","32","20","8","0","1","0","0","4","1",".289",".348",".386",".734",".096",".375",".325",".217",".087",".000","12.16"
"A. Whisnant","ALL","32","So","Brevard","USA South","C","2","1","6","6","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0",".000",".000",".000",".000",".000",".000",".000",".500",".000",".000","-0.63"
"A. Willis","ALL","10","N/A","Trine","MIAA","PH","10","5","16","19","3","4","0","0","0","3","4","7","0","1","0","2","0","0","0",".250",".294",".250",".544",".000",".444",".225",".368",".000",".000","1.39"
"A. Zakow","ALL","10","N/A","Bowdoin","NESCAC","3B","32","30","107","127","14","24","5","1","3","25","40","21","15","3","1","1","2","3","2",".224",".333",".374",".707",".150",".250",".316",".165",".118",".024","13.88"
"A.J. Falconite","ALL","14","N/A","Stevens","Empire 8","PH/RF","10","6","26","30","4","6","2","0","1","5","11","7","4","0","0","0","1","0","3",".231",".333",".423",".756",".192",".278",".336",".233",".133",".033","2.28"
"A.J. Hart","ALL","8","Jr","Averett","USA South","OF","33","28","101","110","14","16","2","0","0","5","18","22","6","2","1","0","2","3","1",".158",".218",".178",".396",".020",".200",".187",".200",".055",".000","2.49"
"A.J. Hunt","ALL","10","So","Birmingham-So.","SAA","C","33","32","119","136","22","38","5","2","3","26","56","11","12","1","2","2","2","6","1",".319",".381",".471",".852",".151",".327",".366",".081",".088",".022","22.41"
"A.J. Koch","ALL","22","So","Puget Sound","NWC","INF","6","1","7","9","0","0","0","0","0","2","0","1","2","0","0","0","0","0","0",".000",".222",".000",".222",".000",".000",".153",".111",".222",".000","-0.08"
"A.J. Nesci","ALL","1","So","Wells","NEAC","2B","34","33","105","132","24","24","0","0","0","9","24","16","25","0","2","0","0","6","3",".229",".371",".229",".600",".000",".264",".293",".121",".189",".000","13.60"
"A.J. Sayer","ALL","4","Sr","St. Thomas (MN)","MIAC","OF","17","2","9","10","2","3","0","0","0","1","3","3","0","0","0","1","1","0","0",".333",".333",".333",".666",".000",".500",".267",".300",".000",".000","0.75"
"A.J. Smith","ALL","22","So","Webster","SLIAC","INF","10","0","10","12","2","5","2","0","1","6","10","1","2","0","0","0","0","0","0",".500",".583","1.000","1.583",".500",".500",".650",".083",".167",".083","4.42"
"Aaron Ajrouche","ALL","9","Sr","Adrian","MIAA","1B","15","0","10","13","1","3","1","0","0","2","4","3","2","0","0","1","0","0","0",".300",".417",".400",".817",".100",".429",".341",".231",".154",".000","1.88"
"Aaron Alexander","ALL","49","Fr","Pacific (OR)","NWC","INF","11","11","39","44","6","11","2","1","0","6","15","1","5","0","0","0","0","2","0",".282",".364",".385",".749",".103",".289",".335",".023",".114",".000","6.40"
"Aaron Barclay","ALL","29","Jr","Washington Col.","Centennial","3B","40","40","142","175","38","36","9","1","2","32","53","28","23","3","2","5","2","7","2",".254",".365",".373",".738",".120",".298",".324",".160",".131",".011","21.86"
"Aaron Clancy","ALL","21","Jr","Westfield St.","MASCAC","C","30","25","97","112","8","27","4","0","0","12","31","14","12","1","0","2","0","0","0",".278",".364",".320",".684",".041",".325",".308",".125",".107",".000","13.42"
"Aaron Clark","ALL","44","Fr","Southwestern (TX)","SCAC","INF","12","4","6","9","1","1","0","0","0","0","1","3","3","0","0","0","0","1","0",".167",".444",".167",".611",".000",".333",".329",".333",".333",".000","1.18"
"Aaron Craig","ALL","16","So","Rochester (NY)","Liberty League","INF","36","35","117","141","28","38","6","0","0","23","44","17","10","4","6","4","1","4","2",".325",".380",".376",".756",".051",".358",".325",".121",".071",".000","19.45"
"Aaron Deutsch","ALL","17","Fr","Washington Col.","Centennial","INF","10","0","6","7","3","2","0","0","0","0","2","2","1","0","0","0","0","0","0",".333",".429",".333",".762",".000",".500",".353",".286",".143",".000","1.07"
"Aaron Donald","ALL","26","Sr","McMurry","ASC","P","15","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000","-0.10"
"Aaron Fanning","ALL","22","Jr","Texas-Dallas","ASC","INF","5","0","3","4","1","1","0","0","1","3","4","2","1","0","0","0","0","0","0",".333",".500","1.333","1.833","1.000",".000",".698",".500",".250",".250","1.54"
"Aaron Fasano","ALL","34","So","Wittenberg","NCAC","3B","11","1","8","8","1","1","0","0","0","0","1","4","0","0","0","0","0","0","0",".125",".125",".125",".250",".000",".250",".111",".500",".000",".000","-0.20"
"Aaron Fong","ALL","51","So","La Verne","SCIAC","INF","12","6","21","27","6","4","1","0","0","4","5","3","3","1","0","2","0","0","0",".190",".320",".238",".558",".048",".222",".249",".111",".111",".000","2.09"
"Aaron Fong","ALL","5","Sr","Willamette","NWC","INF","24","17","52","73","10","13","2","1","0","8","17","11","15","2","2","2","2","7","1",".250",".423",".327",".750",".077",".302",".340",".151",".205",".000","10.18"
"Aaron Fritz","ALL","19","Jr","DeSales","MAC Freedom","C","36","36","114","139","19","31","7","1","4","16","52","26","15","8","0","2","0","1","2",".272",".394",".456",".850",".184",".321",".374",".187",".108",".029","21.39"
"Aaron Froelich","ALL","8","Sr","Finlandia","WIAC","1B","14","12","25","28","0","6","0","0","0","3","6","6","1","1","0","1","0","0","1",".240",".296",".240",".536",".000",".316",".241",".214",".036",".000","1.77"
"Aaron George","ALL","4","Jr","William Peace","USA South","INF","16","9","26","29","1","5","1","0","0","5","6","2","1","0","0","2","1","0","0",".192",".222",".231",".453",".038",".208",".190",".069",".034",".000","0.88"
