"team","conference","era","ip","ab","bf","h","2b","3b","hr","r","er","bb","k","kl","wp","ibb","bk","hbp","sh","sf","go","fo","sho","avg","obp","slg","ops","babip","k/9","bb/9","k/bb","hr9","k%","bb%","whip","fip"
"Adrian","MIAA","4.18","385.2","1516","1761","389","70","4","17","243","179","165","373","97","33","0","3","44","20","16","345","380","4",".257",".343",".342",".685",".326","8.7","3.9","2.3","0.4",".212",".094","1.44","4.12"
"Albertus Magnus","Great Northeast","7.13","205.2","851","1012","255","51","17","10","201","163","104","127","39","18","1","2","33","14","10","241","217","3",".300",".393",".435",".828",".338","5.6","4.6","1.2","0.4",".125",".103","1.75","5.25"
"Albion","MIAA","6.60","316.1","1345","1520","460","94","14","18","284","232","106","235","82","32","2","5","30","21","18","345","308","3",".342",".398",".473",".870",".398","6.7","3.0","2.2","0.5",".155",".070","1.79","4.40"
"Albright","MAC Commonwealth","6.34","251.1","1066","1239","347","64","10","20","240","177","112","151","54","33","1","1","25","21","15","259","302","0",".326",".397",".461",".858",".359","5.4","4.0","1.3","0.7",".122",".090","1.83","5.33"
"Alfred St.","AMCC","6.86","308.1","1263","1544","386","85","15","13","292","235","185","225","72","48","5","7","62","18","15","292","345","2",".306",".415",".428",".843",".359","6.6","5.4","1.2","0.4",".146",".120","1.85","5.35"
"Allegheny","NCAC","5.74","323","1385","1610","440","85","12","7","296","206","144","254","85","25","0","4","43","19","19","318","325","2",".318",".394",".412",".806",".379","7.1","4.0","1.8","0.2",".158",".089","1.81","4.30"
"Alma","MIAA","4.29","342.1","1368","1562","381","78","13","7","211","163","121","261","74","27","3","2","35","24","14","367","347","3",".279",".349",".370",".719",".336","6.9","3.2","2.2","0.2",".167",".077","1.47","3.96"
"Alvernia","MAC Commonwealth","4.05","346.1","1320","1537","361","52","9","20","196","156","118","262","94","46","1","3","48","34","17","400","307","5",".273",".351",".372",".723",".323","6.8","3.1","2.2","0.5",".170",".077","1.38","4.53"
"Amherst","NESCAC","3.53","323.2","1207","1454","280","59","8","12","178","127","174","252","82","42","1","4","42","14","17","322","343","1",".232",".344",".324",".668",".279","7.0","4.8","1.4","0.3",".173",".120","1.41","4.78"
"Anderson (IN)","HCAC","5.20","385.2","1488","1832","404","73","18","15","277","223","218","342","108","62","16","5","83","26","14","389","351","0",".272",".391",".375",".766",".340","8.0","5.1","1.6","0.3",".187",".119","1.61","4.93"
"Anna Maria","Great Northeast","6.34","298","1178","1466","335","63","14","13","260","210","202","253","70","40","9","3","54","18","14","285","294","1",".284",".408",".395",".803",".348","7.6","6.1","1.3","0.4",".173",".138","1.80","5.30"
"Arcadia","MAC Commonwealth","5.31","398","1637","1888","501","90","11","19","309","235","158","250","97","39","7","2","41","33","19","413","467","2",".306",".377",".409",".787",".348","5.7","3.6","1.6","0.4",".132",".084","1.66","4.72"
"Augsburg","MIAC","5.87","280.2","1161","1339","368","67","13","12","229","183","103","177","45","27","4","7","36","18","20","291","318","1",".317",".384",".428",".812",".359","5.7","3.3","1.7","0.4",".132",".077","1.68","4.64"
"Augustana (IL)","CCIW","3.59","353","1403","1571","377","58","4","10","197","141","109","252","88","31","0","1","27","15","16","345","410","4",".269",".330",".337",".667",".317","6.4","2.8","2.3","0.3",".160",".069","1.38","3.95"
"Aurora","NACC","3.41","385.1","1500","1703","384","68","10","12","194","146","126","312","77","30","2","4","45","25","6","430","358","6",".256",".331",".339",".670",".315","7.3","2.9","2.5","0.3",".183",".074","1.32","3.97"
