"name","split","no","class","team","conference","gp","gs","w","l","sv","cg","p","era","ip","ab","bf","h","2b","3b","hr","r","er","bb","k","kl","wp","ibb","bk","hbp","sh","sf","go","fo","sho","avg","obp","slg","ops","babip","k/9","bb/9","k/bb","hr9","k%","bb%","whip","fip"
"A. Coulston","ALL","5","N/A","Me.-Presque Isle","North Atlantic","15","0","0","0","0","0","0","6.75","8","33","38","10","1","1","1","7","6","5","4","3","0","0","0","0","0","0","8","3","0",".303",".395",".485",".880",".321","4.5","5.6","0.8","1.1",".105",".132","1.88","6.36"
"A. Douglas","ALL","12","Sr","Belhaven","ASC","18","1","1","4","0","0","149","5.86","27.2","117","142","39","7","0","2","21","18","18","19","4","4","2","0","4","2","1","39","20","0",".333",".436",".444",".880",".381","6.3","6.0","1.1","0.7",".134",".127","2.10","5.84"
"A. Minson","ALL","13","N/A","Austin","SCAC","7","0","1","0","0","0","146","16.50","6","27","44","9","2","0","1","12","11","11","0","0","2","0","2","5","1","0","7","11","0",".333",".581",".519","1.100",".308","0.0","16.5","0.0","1.5",".000",".250","3.33","14.02"
"A. Montanez","ALL","99","N/A","CMSV","Skyline","8","6","1","3","0","0","146","9.00","24","106","128","37","8","2","0","29","24","17","11","7","1","0","0","1","2","2","36","20","0",".349",".437",".462",".899",".381","4.1","6.4","0.6","0.0",".086",".133","2.25","5.19"
"A. Shakibai","ALL","13","N/A","Union (NY)","Liberty League","3","0","0","1","0","0","23","7.20","5","19","23","6","0","0","1","4","4","4","4","2","4","0","1","0","0","0","4","5","0",".316",".435",".474",".908",".357","7.2","7.2","1.0","1.8",".174",".174","2.00","7.25"
"A. Vanmeter","ALL","31","N/A","Manchester","HCAC","2","0","0","1","0","0","31","0.00","1.1","5","9","1","0","0","0","2","0","1","2","1","0","0","0","2","0","1","0","2","0",".200",".444",".200",".644",".250","16.4","8.2","2.0","0.0",".222",".111","1.82","8.40"
"A. Watts","ALL","24","Sr","Belhaven","ASC","29","0","0","0","0","0","0","","0","0","2","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0",".000","1.000",".000",".000",".000","","","0.0","",".000",".500","",""
"A.J. Ammirati","ALL","6","Jr","SUNY Maritime","Skyline","8","5","2","1","1","1","299","3.75","36","138","153","35","4","0","2","20","15","6","24","10","1","0","0","4","4","1","40","40","0",".254",".302",".326",".628",".292","6.0","1.5","4.0","0.5",".157",".039","1.14","4.08"
"A.J. Armstrong","ALL","5","Jr","Hiram","NCAC","16","0","1","0","0","0","221","10.38","17.1","82","105","34","2","1","3","31","20","17","10","3","8","0","0","5","1","0","13","21","0",".415",".538",".573","1.112",".449","5.3","8.9","0.6","1.6",".095",".162","2.98","8.83"
"A.J. Koch","ALL","22","So","Puget Sound","NWC","6","0","0","0","0","0","32","5.40","1.2","6","7","2","1","0","0","1","1","1","1","0","0","0","0","0","0","0","1","2","0",".333",".429",".500",".929",".400","7.5","7.5","1.0","0.0",".143",".143","2.50","4.69"
"Aaron Ackerman","ALL","11","Fr","NYU","UAA","9","0","0","0","0","0","173","7.82","12.2","45","56","11","6","0","2","11","11","6","9","1","1","0","0","2","2","1","6","22","0",".244",".352",".511",".863",".257","6.6","4.4","1.5","1.5",".161",".107","1.39","6.48"
"Aaron Ajrouche","ALL","9","Sr","Adrian","MIAA","15","0","0","0","0","0","12","0.00","1.1","4","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0",".250",".250",".250",".500",".333","8.2","0.0","","0.0",".250",".000","0.91","2.04"
"Aaron Blake","ALL","14","Fr","Spalding","SLIAC","7","0","0","0","1","0","125","6.10","10.1","43","52","12","2","0","1","10","7","5","6","0","1","0","0","4","0","0","13","9","0",".279",".404",".395",".799",".306","5.3","4.5","1.2","0.9",".115",".096","1.68","6.63"
"Aaron Clark","ALL","44","Fr","Southwestern (TX)","SCAC","12","2","2","2","0","0","197","4.81","24.1","90","120","22","1","0","1","14","13","23","23","8","3","0","2","4","2","1","18","29","0",".244",".415",".289",".704",".313","8.6","8.6","1.0","0.4",".192",".192","1.87","5.85"
"Aaron Donald","ALL","26","Sr","McMurry","ASC","15","1","1","0","1","0","26","5.02","28.2","119","136","40","2","1","0","22","16","11","16","8","3","0","0","4","2","0","40","20","0",".336",".410",".370",".780",".388","5.1","3.5","1.5","0.0",".118",".081","1.81","4.32"
"Aaron Duncan","ALL","27","So","Berea","USA South","14","2","0","2","0","0","64","12.51","27.1","123","155","55","9","3","1","41","38","20","10","1","4","0","1","5","4","2","29","24","0",".447",".533",".593","1.127",".474","3.3","6.6","0.5","0.3",".065",".129","2.77","6.36"
"Aaron Fasano","ALL","34","So","Wittenberg","NCAC","11","0","1","0","0","0","147","3.48","10.1","43","49","13","2","0","1","5","4","4","6","4","0","0","0","1","1","0","9","15","0",".302",".375",".419",".794",".333","5.3","3.6","1.5","0.9",".122",".082","1.68","5.44"
"Aaron Froelich","ALL","8","Sr","Finlandia","WIAC","14","6","3","2","0","3","0","4.76","34","133","156","39","8","0","0","22","18","11","25","7","4","0","1","5","5","2","39","26","0",".293",".364",".353",".718",".355","6.6","2.9","2.3","0.0",".160",".071","1.47","3.80"
"Aaron Gillespie","ALL","10","So","Olivet","MIAA","35","8","1","5","0","0","440","7.07","35.2","157","187","56","14","4","5","46","28","19","31","8","3","0","1","2","6","3","31","40","0",".357",".425",".592","1.018",".411","7.9","4.9","1.6","1.3",".166",".102","2.13","5.73"
"Aaron Hagberg","ALL","49","So","Marian (WI)","NACC","2","0","0","0","0","0","0","81.00","0.1","3","7","2","0","0","0","6","3","4","0","0","0","0","0","0","0","0","0","1","0",".667",".857",".667","1.524",".667","0.0","360.0","0.0","0.0",".000",".571","60.00","123.86"
"Aaron Hall","ALL","42","Fr","St. Joseph's (ME)","Great Northeast","8","4","2","1","1","0","248","5.87","15.1","65","75","18","1","0","1","13","10","8","11","4","2","0","0","0","1","1","21","13","0",".277",".351",".338",".690",".315","6.6","4.8","1.4","0.6",".147",".107","1.72","4.85"
"Aaron Kalish","ALL","25","Sr","Rensselaer","Liberty League","10","0","0","0","1","0","212","7.90","13.2","58","64","17","3","0","0","12","12","5","8","4","1","0","0","0","1","0","17","16","0",".293",".349",".345",".694",".340","5.5","3.4","1.6","0.0",".125",".078","1.67","3.78"
"Aaron Kloeppner","ALL","36","So","Saint John's (MN)","MIAC","16","0","0","0","0","0","0","9.00","3","15","15","7","1","0","0","3","3","0","2","1","0","0","0","0","0","0","1","5","0",".467",".467",".533","1.000",".538","6.0","0.0","","0.0",".133",".000","2.33","2.52"
"Aaron Krahn","ALL","5","Jr","Northwestern-St. Paul","UMAC","36","0","0","0","0","0","92","30.00","3","14","22","5","2","0","1","10","10","7","5","4","0","0","0","1","0","0","3","1","0",".357",".591",".714","1.305",".500","15.0","21.0","0.7","3.0",".227",".318","4.00","12.86"
"Aaron Kulp","ALL","41","So","Alvernia","MAC Commonwealth","8","3","2","1","0","0","96","4.12","24","91","109","27","3","0","1","13","11","12","24","10","7","0","0","2","1","3","22","21","0",".297",".380",".363",".742",".377","9.0","4.5","2.0","0.4",".220",".110","1.63","4.15"
"Aaron Leming","ALL","26","Sr","Franklin","HCAC","14","13","7","1","0","1","828","3.75","62.1","247","297","62","16","1","1","38","26","37","44","13","19","1","1","7","4","2","57","75","0",".251",".362",".336",".698",".299","6.4","5.4","1.2","0.1",".148",".125","1.59","4.77"
"Aaron Little","ALL","30","Fr","Hendrix","SAA","15","0","1","2","1","0","137","9.86","21","97","112","36","10","3","0","27","23","9","11","4","4","0","1","4","2","0","28","21","0",".371",".445",".536",".982",".419","4.7","3.9","1.2","0.0",".098",".080","2.14","4.67"
"Aaron Marquez","ALL","25","Jr","Sul Ross St.","ASC","14","6","3","1","1","0","500","4.60","45","170","216","50","6","2","3","26","23","37","42","23","2","0","0","3","4","2","42","38","0",".294",".425",".406",".830",".370","8.4","7.4","1.1","0.6",".194",".171","1.93","5.52"
"Aaron Miller","ALL","29","Jr","DePauw","NCAC","12","2","0","2","0","0","381","7.30","24.2","100","124","31","8","1","2","23","20","11","19","7","2","0","1","6","3","4","24","30","0",".310",".397",".470",".867",".349","7.1","4.1","1.7","0.7",".153",".089","1.74","5.47"
"Aaron Mitchell","ALL","45","Sr","Spalding","SLIAC","20","0","3","2","3","0","303","4.61","27.1","116","133","35","7","0","2","19","14","12","28","6","1","0","0","1","2","2","26","26","0",".302",".366",".414",".780",".375","9.3","4.0","2.3","0.7",".211",".090","1.73","4.19"
"Aaron Monroe","ALL","30","So","Houghton","Empire 8","5","0","0","0","0","0","62","12.00","6","24","36","7","0","0","0","9","8","11","6","1","2","0","0","1","0","0","8","3","0",".292",".528",".292",".819",".389","9.0","16.5","0.5","0.0",".167",".306","3.00","7.86"
"Aaron Palmer","ALL","24","Sr","Penn College","NEAC","6","3","0","2","0","0","10","5.14","14","66","78","23","4","0","0","18","8","8","7","6","1","0","0","2","2","0","13","19","0",".348",".434",".409",".843",".390","4.5","5.1","0.9","0.0",".090",".103","2.21","5.00"
"Aaron Scilley","ALL","9","Sr","Centre","SAA","19","0","3","2","0","0","255","5.11","24.2","100","113","31","7","1","2","17","14","7","12","3","4","0","1","2","3","1","26","33","0",".310",".364",".460",".824",".333","4.5","2.6","1.7","0.7",".106",".062","1.57","5.05"
"Aaron Sharp","ALL","34","So","Penn St.-Altoona","AMCC","8","7","1","3","1","0","89","6.14","29.1","116","150","36","10","1","2","22","20","29","22","8","7","0","1","4","1","0","27","30","0",".310",".463",".466",".929",".370","6.8","9.0","0.8","0.6",".147",".193","2.23","6.64"
"Aaron Shinn","ALL","11","Jr","Mount Aloysius","AMCC","25","0","0","0","1","0","15","13.50","2","9","10","3","0","0","0","3","3","1","0","0","0","0","0","0","0","0","3","2","0",".333",".400",".333",".733",".333","0.0","4.5","0.0","0.0",".000",".100","2.00","5.36"
"Aaron Smith","ALL","9","Sr","Castleton","Little East","24","1","5","3","4","0","526","4.30","46","174","199","51","10","1","3","26","22","13","34","13","5","0","0","2","5","5","57","38","0",".293",".340",".414",".754",".338","6.7","2.5","2.6","0.6",".171",".065","1.39","4.20"
"Aaron Smith","ALL","30","So","Penn St.-Altoona","AMCC","10","1","0","0","0","0","45","11.21","17.2","83","100","33","6","0","4","28","22","8","15","3","5","1","0","7","2","0","20","14","0",".398",".490",".614","1.104",".453","7.8","4.2","1.9","2.1",".150",".080","2.38","7.75"
"Aaryn Chandler","ALL","17","Jr","Centre","SAA","13","8","2","3","0","0","591","5.45","38","160","190","54","6","1","5","31","23","18","28","8","4","0","0","9","1","2","29","47","0",".338",".429",".481",".910",".380","6.6","4.3","1.6","1.2",".147",".095","1.90","6.22"
"Abby Nash","ALL","22","Jr","Berea","USA South","6","6","0","4","0","0","0","7.34","30.2","126","150","40","12","2","1","31","25","14","11","4","0","0","0","5","3","2","40","34","0",".317",".401",".468",".870",".336","3.3","4.2","0.8","0.3",".073",".093","1.79","5.44"
"Abdi Rodriguez-Polanco","ALL","19","Fr","Pitt.-Greensburg","AMCC","13","2","2","2","2","0","344","5.27","27.1","114","135","40","8","1","3","30","16","13","21","7","2","0","2","5","2","1","30","20","0",".351",".436",".518",".954",".407","7.0","4.3","1.6","1.0",".156",".096","1.96","5.74"
"Abe Kovall","ALL","11","Fr","NVU-Lyndon","North Atlantic","3","0","0","0","0","0","0","21.60","1.2","9","12","4","2","1","0","5","4","2","0","0","1","0","1","1","0","0","3","1","0",".444",".583",".889","1.472",".444","0.0","15.0","0.0","0.0",".000",".167","5.00","11.36"
"Abelardo Paz","ALL","30","Jr","Concordia Chicago","NACC","15","0","0","0","0","0","250","6.43","21","71","99","15","1","0","0","15","15","17","10","3","4","0","2","7","1","3","23","23","0",".211",".398",".225",".623",".234","4.3","7.3","0.6","0.0",".101",".172","1.52","6.33"
"Abraham Griesbauer","ALL","16","Sr","Dallas","SCAC","18","3","2","5","0","0","392","7.17","37.2","174","192","63","13","2","3","42","30","14","17","6","4","1","1","1","2","1","53","35","0",".362",".411",".511",".922",".387","4.1","3.4","1.2","0.7",".089",".073","2.07","5.20"
"Adam Brisman","ALL","26","Sr","St. Joseph's (L.I.)","Skyline","7","0","0","1","0","0","60","32.40","3.1","22","26","11","5","2","0","13","12","3","4","0","0","0","1","1","0","0","4","2","0",".500",".577",".909","1.486",".611","11.6","8.7","1.3","0.0",".154",".115","4.52","5.14"
"Adam Brooks","ALL","31","Fr","Va. Wesleyan","ODAC","13","0","0","1","0","0","268","8.75","23.2","90","112","27","7","0","2","27","23","14","12","6","1","0","0","5","2","1","30","19","0",".300",".418",".444",".863",".325","4.7","5.4","0.9","0.8",".107",".125","1.77","6.40"
"Adam Carey","ALL","2","Sr","Central (IA)","American Rivers","1","0","0","0","0","0","0","9.00","1","4","4","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","2","1","0",".250",".250",".500",".750",".250","0.0","0.0","","0.0",".000",".000","1.00","3.85"
"Adam Carver","ALL","26","Fr","Covenant","USA South","15","2","3","2","1","0","405","6.16","30.2","123","149","38","5","1","2","30","21","14","18","6","13","0","1","6","3","3","33","36","0",".309",".397",".415",".812",".340","5.4","4.2","1.3","0.6",".121",".094","1.72","5.51"
"Adam Cerar","ALL","6","Jr","Chatham","PAC","9","5","0","5","0","1","340","5.35","37","156","179","48","7","5","2","35","22","6","15","3","0","0","1","8","4","5","32","60","0",".308",".354",".455",".809",".319","3.6","1.5","2.5","0.5",".084",".034","1.46","4.88"
"Adam Cohick","ALL","4","Jr","Lancaster Bible","NEAC","32","0","0","0","0","0","0","5.62","8","36","41","9","2","0","0","7","5","4","6","2","1","1","0","1","0","0","9","9","0",".250",".341",".306",".647",".300","6.8","4.5","1.5","0.0",".146",".098","1.63","4.23"
"Adam Doerger","ALL","41","Fr","Wilmington (OH)","OAC","7","0","0","0","1","0","0","13.00","9","39","49","17","2","0","2","13","13","4","5","2","2","0","1","4","2","0","9","10","0",".436",".532",".641","1.173",".469","5.0","4.0","1.3","2.0",".102",".082","2.33","8.30"
"Adam Donovan","ALL","22","Sr","DeSales","MAC Freedom","11","11","5","2","0","0","570","4.56","51.1","197","249","53","7","2","3","34","26","37","48","17","4","0","0","7","6","2","60","37","0",".269",".399",".371",".770",".338","8.5","6.5","1.3","0.5",".193",".149","1.76","5.32"
"Adam Dulsky","ALL","24","Sr","Williams","NESCAC","26","0","0","0","0","0","0","0.00","0.2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0",".000",".000",".000",".000",".000","0.0","0.0","","0.0",".000",".000","0.00","3.85"
"Adam Duncan","ALL","27","So","Bluffton","HCAC","30","0","0","0","0","0","31","9.00","1","7","8","3","1","0","0","2","1","1","0","0","1","0","0","0","0","0","0","3","0",".429",".500",".571","1.071",".429","0.0","9.0","0.0","0.0",".000",".125","4.00","6.86"
"Adam Eck","ALL","26","Sr","Edgewood","NACC","9","9","2","5","0","2","692","4.73","51.1","204","244","51","3","2","1","39","27","30","70","15","8","0","0","4","3","2","43","35","0",".250",".354",".299",".653",".370","12.3","5.3","2.3","0.2",".287",".123","1.58","3.37"
"Adam Fjerstad","ALL","12","Fr","Bethany Lutheran","UMAC","5","1","2","0","0","0","0","6.00","9","35","39","11","2","0","1","7","6","2","7","4","6","0","0","1","0","1","13","5","0",".314",".359",".457",".816",".357","7.0","2.0","3.5","1.0",".179",".051","1.44","4.74"
